tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
;3º;4600353;MERCEDES MERCADO DE MORENO;TUIZON;M;TUIZON;70;S
;3º;4600400;ESCUELA 120;ATILES;M;ATILES;70;N
;3º;4600338;ESCUELA 121;LAS HUERTAS;M;SIERRA DE LOS QUINTEROS;120;S
J.C.;2º;4600142;LEOPOLDO CAAMAÑO;BARRIO DE GALLI S/N;M-T;FAMATINA;70;E
;3º;4600241;ENZO ALDO CORDOBA;VICENTE GIGENA S/N;M;TILIMUQUI;40;D
;;;;;;;;B
;3º;4600200;ROSARIO VERA PEÑALOZA;LOS NACIMIENTOS;M;FELIPE VARELA;100;H
;3º;4600456;ESCUELA 126;EL BARRIAL;M;ROSARIO V PEÑALOZA;55;O
;1º;4600194;CAPITAL FEDERAL;NAPOLES Nº 301;M-T;LA RIOJA;;B
;3º;4600461;ESCUELA 128;LA LAGUNA;M;ROSARIO V PEÑALOZA;120;O
;1º;4600315;MUNICIPALIDAD DE LA  CDAD DE BS.AS.;AVDA. SAN BUENAVENTURA ;M;VICHIGASTA;30;D
;3º;4600443;ESCUELA 130;TORRECITAS;M;GRAL. OCAMPO;100;I
;3º;4600396;ESCUELA 131;ALTO BAYO;M;ROSARIO V PEÑALOZA;120;O
;3º;4600460;ESCUELA 132;EL RODEO;T;ROSARIO V PEÑALOZA;120;O
;3º;4600436;EL QUEMADO;EL QUEMADO;M;GRAL. OCAMPO;120;I
;3º;4600282;MAESTRO N.A.CHACHO LEAL;LA CORTADA;T;CHAMICAL;100;L
;3º;4600166;JOSE ARMANDO QUIROGA SOAJE;LA MARAVILLA;M;FELIPE VARELA;100;H
P.H.;1º;4600302;NICOLASA VERA LUNA DE VERA;CONSTANTINO CARBEL Nº 430;M-T;CHAMICAL;;L
;3º;4600124;VIRGEN DEL ROSARIO DE SAN NICOLAS;PUBLICA S/N ;M;SANTA VERA CRUZ;70;O
;3º;4600452;ESCUELA 138;MASCASIN;M;ROSARIO V PEÑALOZA;55;O
;3º;4600499;ESCUELA 139;KM 14;M;GRAL. SAN MARTIN;100;J
;3º;4600536;MARIA ESTELA TORRES DE SUFAN;AGUA BLANCA;M;CASTRO BARROS;70;C
;1º;4600113;RICARDO ROJAS;AVDA. CESAR VALLEJOS S/N;M;VILLA MAZAN;30;A
