tipo;categoria;cue;nombre;domicilio;turno;localidad;porcentaje_zona;zona
;;4600481;CEJA (Bachillerato para Adultos);;;Chepes;;O
;;4600517;CEJA (Bachillerato Para Adultos);;;El Portezuelo;55;N
;;4600483;Colegio Secundario;SARMIENTO N° 126;;Milagro;30;I
;;4600484;Escuela Pcial. De Comercio;SARMIENTO Nº 126;;Milagro;30;I
;;4600430;Colegio Secundario;SANTA RITA DE CATUNA;;Catuna;40;I
;;4600478;Colegio Secundario;FACUNDO QUIROGA S/Nº;;Desiderio Tello;40;O
;;4600521;Colegio Secundario;CASTRO BARROS S/Nº;;Olpas;70;I
;;4600437;Colegio Secundario;AMBIL;;Ambil;70;I
;;4600424;Bachillerato para Adultos;;;Milagro;30;I
;;4600429;CEJA (Centro Educ. para Jov. Y Adultos);;;Catuna;40;I
;;;C.A.S.C;;;Milagro;30;I
